sub_id,scan_age,sex
sub292,11.72328767,1
sub60,11.75890411,0
sub88,11.77260274,1
sub122,11.77260274,1
sub94,11.78082192,0
sub43,11.83013699,1
sub3,11.90410959,1
sub49,11.91232877,1
sub148,11.92328767,1
sub303,11.92876712,1
sub15,11.94246575,0
sub16,11.95342466,0
sub284,12,1
sub181,12.00821918,1
sub291,12.00821918,1
sub51,12.0109589,0
sub61,12.03561644,0
sub7,12.05479452,0
sub58,12.05479452,0
sub28,12.11232877,0
sub48,12.11506849,0
sub12,12.18356164,1
sub242,12.2739726,0
sub228,12.29863014,1
sub297,12.29863014,1
sub8,12.35616438,1
sub9,12.37260274,0
sub1,12.42191781,1
sub5,12.42191781,1
sub68,12.42739726,1
sub59,12.43287671,0
sub83,12.44109589,0
sub118,12.44657534,1
sub80,12.51232877,0
sub113,12.55342466,1
sub11,12.59726027,1
sub6,12.63835616,0
sub37,12.70410959,0
sub60,12.73424658,0
sub88,12.84657534,1
sub148,12.90136986,1
sub245,12.96986301,1
sub16,12.97260274,0
sub104,12.99726027,0
sub120,13.00821918,1
sub61,13.03835616,0
sub58,13.05205479,0
sub228,13.35342466,1
sub5,13.38082192,1
sub1,13.39178082,1
sub59,13.44657534,0
sub118,13.4630137,1
sub8,13.54246575,1
sub6,13.63835616,0
sub60,13.74794521,0
sub16,13.98630137,0
